sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
1,2020-09-01,BYJU’S,E-Tech,Bangalore,Tiger Global Management,Private Equity Round,200000000.0,2020,9
3,2020-09-01,Mamaearth,E-commerce,Bangalore,Sequoia Capital India,Series B,18358860.0,2020,9
4,2020-02-01,https://www.wealthbucket.in/,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000.0,2020,2
5,2020-02-01,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,2020,2
7,2020-10-01,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.0,2020,10
8,2019-12-12,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019,12
9,2019-06-12,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019,6
10,2019-03-12,Dhruva Space,Aerospace,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019,3
16,2019-11-12,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,2019,11
25,2019-12-11,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000.0,2019,12
27,2019-11-11,eBikeGo,Last Mile Transportation,Other,Startup Buddy,Seed,300000.0,2019,11
33,2019-04-10,Dunzo,Customer Service,Bangalore,Lightbox,Series D,45000000.0,2019,4
34,2019-02-10,Udaan,B2B,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0,2019,2
36,2019-05-09,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,2019,5
37,2019-04-09,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000.0,2019,4
38,2019-04-09,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,6000000.0,2019,4
39,2019-04-09,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,2019,4
40,2019-04-09,75F,IoT,Other,Breakthrough Energy Ventures,Series A,18000000.0,2019,4
41,2019-04-09,Myelin Foundry,Information Technology,Bangalore,Endiya Partners,Seed,1000000.0,2019,4
42,2019-04-09,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000.0,2019,4
43,2019-04-09,GOQii,Health and Wellness,Other,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019,4
44,2019-03-09,Vyapar App,Accounting,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0,2019,3
45,2019-01-08,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019,1
46,2019-01-08,Progcap,Finance,New Delhi,Sequoia India,Series A,5000000.0,2019,1
47,2019-01-08,MyPetrolPump,Retail,Bangalore,,Seed Funding Round,1600000.0,2019,1
48,2019-01-08,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,2019,1
49,2019-01-08,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,2019,1
50,2019-12-08,Meesho,E-Commerce,Bangalore,Naspers,Series D,125000000.0,2019,12
62,2019-02-07,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019,2
63,2019-02-07,Atlan,Information Technology,Other,WaterBridge Ventures,Pre-Series A,2500000.0,2019,2
64,2019-01-07,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000.0,2019,1
65,2019-03-07,Ola Cabs,Transport,Other,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019,3
66,2019-01-07,Uniphore,Artificial Intelligence,Other,March Capital Partners,Series C,38080000.0,2019,1
67,2019-04-07,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000.0,2019,4
68,2019-10-07,"""BYJU\\'S""",EdTech,Bangalore,Qatar Investment Authority,Private Equity Round,150000000.0,2019,10
69,2019-11-07,Moglix,E-Commerce,Other,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019,11
70,2019-10-07,Ezyhaul,Tech,Other,Undisclosed,Series B,16000000.0,2019,10
71,2019-10-07,Indus OS,Tech,Other,Ventureast,Series B,5750000.0,2019,10
72,2019-10-07,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000.0,2019,10
73,2019-09-07,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000.0,2019,9
74,2019-08-07,Board Infinity,EdTech,Other,Multiple Angel Investors,Angel Round,319605.0,2019,8
75,2019-05-06,NoBroker,E-Commerce,Bangalore,General Atlantic,Series C,51000000.0,2019,5
76,2019-04-06,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000.0,2019,4
77,2019-03-06,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54,2019,3
78,2019-03-06,Avail Finance,Finance,Bangalore,Matrix Partners,Series A,9000000.0,2019,3
79,2019-04-06,BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000.0,2019,4
80,2019-04-06,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,2019,4
81,2019-03-06,Agara Labs,Deep-Tech,Bangalore,Blume Ventures and RTP Global,pre-Series A,2500000.0,2019,3
82,2019-06-06,Sistema.bio,Agriculture,Other,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68,2019,6
83,2019-06-06,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000.0,2019,6
84,2019-06-06,Pratilipi,Digital Media,Bangalore,Qiming Venture Partners,Series B,15109500.0,2019,6
